dataset,n,date,constant_multiplier,largest_h_minor_model,smallest_h_separator,separator_size,max_bfs_depth,iterations,first_condition_calls,line11_calls,line11_median_returns,time_elapsed_seconds,search_seconds,final_run_seconds,peak_rss_mb
datasets/road-italy-osm.csv,6686493,2026-07-19,100,18,19,146086,29501,24,24,0,0,41971.437,33398.035,3614.213,5347.3
datasets/social/HR_edges.csv,54573,2026-07-20,2,228,229,16790,13,231,231,0,0,25391.972,20652.852,2361.54,4875.4
datasets/social/HR_edges.csv,54573,2026-07-20,3,228,229,16790,13,231,231,0,0,25378.223,20643.276,2361.219,5638.2
datasets/road-germany-osm.txt,11548845,2026-07-20,1,5,6,2858,4619,1,0,1,1,28747.444,21138.876,1489.274,3885.6
datasets/road-great-britain-osm.txt,7733822,2026-07-19,1,3,4,5303,6388,1,0,1,1,2610.207,1647.492,295.267,15418.4
datasets/road-great-britain-osm.txt,7733822,2026-07-19,2,6,7,5303,6388,1,0,1,1,11493.59,7254.11,444.22,15418.4
datasets/social/HR_edges.csv,54573,2026-07-19,10,228,229,16790,13,231,231,0,0,46470.344,37935.044,4542.036,14136.9
datasets/social/HR_edges.csv,54573,2026-07-19,5,228,229,16790,13,231,231,0,0,50691.101,43031.276,3736.032,10663.0
datasets/social/HR_edges.csv,54573,2026-07-19,50,228,229,16790,13,231,231,0,0,40823.627,33376.384,3720.653,14142.0
datasets/social/HR_edges.csv,54573,2026-07-19,20,228,229,16790,13,231,231,0,0,51043.862,38754.097,5683.212,14139.5
datasets/road-great-britain-osm.txt,7733822,2026-07-19,3,7,8,31099,8921,13,12,1,1,24388.477,15801.405,4413.704,15452.4
datasets/social/HR_edges.csv,54573,2026-07-19,100,228,229,16790,13,231,231,0,0,46791.517,38874.015,3767.153,14154.1
datasets/road-great-britain-osm.txt,7733822,2026-07-20,5,11,12,32171,9341,14,13,1,1,31246.493,22399.303,4045.159,15292.3
datasets/road-great-britain-osm.txt,7733822,2026-07-20,10,18,19,94366,11118,27,27,0,0,51276.014,37548.824,7155.171,15300.2
datasets/road-germany-osm.txt,11548845,2026-07-20,3,12,13,36051,6593,16,15,1,1,52091.074,37578.433,6464.63,20946.6
datasets/road-great-britain-osm.txt,7733822,2026-07-20,20,18,19,94366,11118,27,27,0,0,56646.594,44525.578,5959.306,15297.3
datasets/road-great-britain-osm.txt,7733822,2026-07-20,100,18,19,94366,11118,27,27,0,0,57487.01,45700.808,5878.208,15293.1
datasets/road-great-britain-osm.txt,7733822,2026-07-20,50,18,19,94366,11118,27,27,0,0,60694.582,49076.71,5811.539,15292.8
datasets/road-germany-osm.txt,11548845,2026-07-20,5,16,17,81631,8381,23,22,1,1,73782.276,55965.04,8876.808,20955.9
datasets/road-germany-osm.txt,11548845,2026-07-21,10,20,21,169670,13387,28,27,1,1,95434.075,74012.842,10804.155,20977.9
datasets/road-germany-osm.txt,11548845,2026-07-21,20,24,25,244371,14646,31,31,0,0,110420.155,86989.541,11681.741,20979.9
datasets/road-germany-osm.txt,11548845,2026-07-21,2,8,9,25642,6261,15,14,1,1,42798.965,27894.085,7822.491,21032.3
